speed_mph,speed_kmh,categoria_trafico
57.0,91.73238,Vías rápidas
58.05,93.422187,Vías rápidas
57.15,91.973781,Vías rápidas
59.32,95.4660488,Vías rápidas
60.91,98.0248994,Vías rápidas
58.6,94.30732400000001,Vías rápidas
59.59,95.90057060000001,Vías rápidas
58.52,94.1785768,Vías rápidas
59.82,96.2707188,Vías rápidas
60.63,97.57428420000001,Vías rápidas
60.19,96.8661746,Vías rápidas
60.83,97.8961522,Vías rápidas
60.78,97.8156852,Vías rápidas
61.02,98.20192680000001,Vías rápidas
61.29,98.6364486,Vías rápidas
61.09,98.3145806,Vías rápidas
60.92,98.0409928,Vías rápidas
59.02,94.9832468,Vías rápidas
56.33,90.6541222,Vías rápidas
59.91,96.41555939999999,Vías rápidas
55.08,88.64244719999999,Vías rápidas
52.66,84.74784439999999,Vías rápidas
55.43,89.2057162,Vías rápidas
56.5,90.92771,Vías rápidas
54.84,88.2562056,Vías rápidas
57.78,92.9876652,Vías rápidas
59.78,96.2063452,Vías rápidas
58.49,94.13029660000001,Vías rápidas
62.17,100.05266780000001,Vías rápidas
61.68,99.2640912,Vías rápidas
57.14,91.9576876,Vías rápidas
61.47,98.9261298,Vías rápidas
61.22,98.5237948,Vías rápidas
61.21,98.5077014,Vías rápidas
60.66,97.62256439999999,Vías rápidas
60.55,97.445537,Vías rápidas
60.95,98.089273,Vías rápidas
61.64,99.1997176,Vías rápidas
58.68,94.4360712,Vías rápidas
37.67,60.623837800000004,Tráfico fluido
21.97,35.3571998,Tráfico moderado
28.66,46.1236844,Tráfico fluido
57.08,91.8611272,Vías rápidas
61.43,98.8617562,Vías rápidas
61.18,98.4594212,Vías rápidas
60.91,98.0248994,Vías rápidas
60.98,98.1375532,Vías rápidas
58.65,94.38779099999999,Vías rápidas
57.87,93.13250579999999,Vías rápidas
59.1,95.111994,Vías rápidas
59.12,95.1441808,Vías rápidas
59.7,96.07759800000001,Vías rápidas
61.19,98.4755146,Vías rápidas
62.59,100.7285906,Vías rápidas
62.59,100.7285906,Vías rápidas
61.94,99.68251959999999,Vías rápidas
61.33,98.70082219999999,Vías rápidas
61.16,98.42723439999999,Vías rápidas
60.82,97.8800588,Vías rápidas
60.78,97.8156852,Vías rápidas
60.73,97.73521819999999,Vías rápidas
60.48,97.3328832,Vías rápidas
50.18,80.7566812,Vías rápidas
31.13,50.098754199999995,Tráfico fluido
22.41,36.0653094,Tráfico moderado
20.71,33.329431400000004,Tráfico moderado
22.72,36.5642048,Tráfico moderado
49.82,80.1773188,Vías rápidas
58.67,94.4199778,Vías rápidas
58.21,93.6796814,Vías rápidas
57.15,91.973781,Vías rápidas
58.9,94.790126,Vías rápidas
57.06,91.82894040000001,Vías rápidas
58.78,94.5970052,Vías rápidas
59.65,95.997131,Vías rápidas
60.49,97.3489766,Vías rápidas
57.06,91.82894040000001,Vías rápidas
57.3,92.215182,Vías rápidas
60.59,97.50991060000001,Vías rápidas
61.34,98.71691560000001,Vías rápidas
62.21,100.1170414,Vías rápidas
60.91,98.0248994,Vías rápidas
60.87,97.9605258,Vías rápidas
60.86,97.9444324,Vías rápidas
60.49,97.3489766,Vías rápidas
61.39,98.7973826,Vías rápidas
55.72,89.6724248,Vías rápidas
37.55,60.430716999999994,Tráfico fluido
25.11,40.4105274,Tráfico fluido
26.29,42.3095486,Tráfico fluido
29.77,47.9100518,Tráfico fluido
60.93,98.0570862,Vías rápidas
62.91,101.24357939999999,Vías rápidas
64.88,104.41397919999999,Vías rápidas
62.67,100.8573378,Vías rápidas
62.04,99.8434536,Vías rápidas
61.17,98.4433278,Vías rápidas
61.78,99.42502520000001,Vías rápidas
60.02,96.5925868,Vías rápidas
60.54,97.4294436,Vías rápidas
62.75,100.986085,Vías rápidas
62.75,100.986085,Vías rápidas
62.46,100.5193764,Vías rápidas
62.11,99.9561074,Vías rápidas
61.52,99.00659680000001,Vías rápidas
61.24,98.55598160000001,Vías rápidas
60.82,97.8800588,Vías rápidas
60.68,97.65475119999999,Vías rápidas
60.44,97.2685096,Vías rápidas
61.79,99.4411186,Vías rápidas
57.67,92.81063780000001,Vías rápidas
35.46,57.0671964,Tráfico fluido
23.38,37.6263692,Tráfico moderado
25.76,41.456598400000004,Tráfico fluido
33.22,53.462274799999996,Tráfico fluido
61.09,98.3145806,Vías rápidas
62.08,99.9078272,Vías rápidas
61.37,98.7651958,Vías rápidas
61.88,99.5859592,Vías rápidas
62.39,100.4067226,Vías rápidas
59.96,96.4960264,Vías rápidas
60.54,97.4294436,Vías rápidas
60.51,97.38116339999999,Vías rápidas
60.58,97.4938172,Vías rápidas
62.72,100.9378048,Vías rápidas
62.59,100.7285906,Vías rápidas
62.56,100.6803104,Vías rápidas
62.18,100.0687612,Vías rápidas
61.83,99.50549219999999,Vías rápidas
61.42,98.8456628,Vías rápidas
61.04,98.2341136,Vías rápidas
60.86,97.9444324,Vías rápidas
61.09,98.3145806,Vías rápidas
62.56,100.6803104,Vías rápidas
60.86,97.9444324,Vías rápidas
48.07,77.3609738,Vías rápidas
29.31,47.1697554,Tráfico fluido
31.87,51.2896658,Tráfico fluido
27.25,43.854515,Tráfico fluido
46.85,75.39757900000001,Vías rápidas
61.99,99.7629866,Vías rápidas
61.48,98.9422232,Vías rápidas
61.98,99.74689319999999,Vías rápidas
61.28,98.6203552,Vías rápidas
60.42,97.2363228,Vías rápidas
61.13,98.37895420000001,Vías rápidas
60.26,96.9788284,Vías rápidas
60.64,97.5903776,Vías rápidas
62.98,101.35623319999999,Vías rápidas
63.12,101.5815408,Vías rápidas
63.05,101.468887,Vías rápidas
62.75,100.986085,Vías rápidas
62.25,100.181415,Vías rápidas
61.63,99.1836242,Vías rápidas
61.32,98.6847288,Vías rápidas
60.97,98.1214598,Vías rápidas
61.0,98.16974,Vías rápidas
61.38,98.7812892,Vías rápidas
62.65,100.82515099999999,Vías rápidas
62.29,100.2457886,Vías rápidas
62.53,100.6320302,Vías rápidas
62.78,101.0343652,Vías rápidas
62.92,101.2596728,Vías rápidas
61.42,98.8456628,Vías rápidas
61.0,98.16974,Vías rápidas
60.83,97.8961522,Vías rápidas
60.83,97.8961522,Vías rápidas
60.72,97.7191248,Vías rápidas
59.75,96.158065,Vías rápidas
59.36,95.53042239999999,Vías rápidas
53.16,85.55251439999999,Vías rápidas
60.0,96.5604,Vías rápidas
62.47,100.5354698,Vías rápidas
63.31,101.8873154,Vías rápidas
63.46,102.1287164,Vías rápidas
63.71,102.5310514,Vías rápidas
62.68,100.8734312,Vías rápidas
61.81,99.4733054,Vías rápidas
61.25,98.572075,Vías rápidas
61.22,98.5237948,Vías rápidas
60.96,98.1053664,Vías rápidas
61.4,98.813476,Vías rápidas
61.8,99.457212,Vías rápidas
61.71,99.3123714,Vías rápidas
62.04,99.8434536,Vías rápidas
61.91,99.6342394,Vías rápidas
61.97,99.7307998,Vías rápidas
67.47,108.5821698,Vías rápidas
61.46,98.9100364,Vías rápidas
60.61,97.5420974,Vías rápidas
60.62,97.55819079999999,Vías rápidas
60.53,97.4133502,Vías rápidas
60.62,97.55819079999999,Vías rápidas
61.0,98.16974,Vías rápidas
62.18,100.0687612,Vías rápidas
61.91,99.6342394,Vías rápidas
63.12,101.5815408,Vías rápidas
63.11,101.5654474,Vías rápidas
62.84,101.13092560000001,Vías rápidas
62.95,101.307953,Vías rápidas
62.15,100.020481,Vías rápidas
61.46,98.9100364,Vías rápidas
61.08,98.2984872,Vías rápidas
61.08,98.2984872,Vías rápidas
61.09,98.3145806,Vías rápidas
61.94,99.68251959999999,Vías rápidas
61.72,99.32846479999999,Vías rápidas
59.58,95.88447719999999,Vías rápidas
59.99,96.5443066,Vías rápidas
61.11,98.3467674,Vías rápidas
62.25,100.181415,Vías rápidas
62.18,100.0687612,Vías rápidas
60.89,97.9927126,Vías rápidas
60.74,97.75131160000001,Vías rápidas
61.23,98.5398882,Vías rápidas
60.82,97.8800588,Vías rápidas
61.46,98.9100364,Vías rápidas
61.02,98.20192680000001,Vías rápidas
61.04,98.2341136,Vías rápidas
60.7,97.686938,Vías rápidas
63.07,101.5010738,Vías rápidas
63.07,101.5010738,Vías rápidas
63.07,101.5010738,Vías rápidas
62.43,100.4710962,Vías rápidas
61.84,99.52158560000001,Vías rápidas
61.3,98.652542,Vías rápidas
60.92,98.0409928,Vías rápidas
60.89,97.9927126,Vías rápidas
61.18,98.4594212,Vías rápidas
62.2,100.100948,Vías rápidas
61.22,98.5237948,Vías rápidas
39.6,63.729864,Tráfico fluido
26.3,42.325642,Tráfico fluido
26.09,41.9876806,Tráfico fluido
39.41,63.42408939999999,Tráfico fluido
61.88,99.5859592,Vías rápidas
62.52,100.6159368,Vías rápidas
62.53,100.6320302,Vías rápidas
63.19,101.69419459999999,Vías rápidas
62.62,100.7768708,Vías rápidas
60.65,97.606471,Vías rápidas
61.82,99.4893988,Vías rápidas
61.3,98.652542,Vías rápidas
60.9,98.00880599999999,Vías rápidas
62.86,101.1631124,Vías rápidas
62.8,101.066552,Vías rápidas
62.95,101.307953,Vías rápidas
62.38,100.3906292,Vías rápidas
61.56,99.07097040000001,Vías rápidas
61.32,98.6847288,Vías rápidas
60.94,98.07317959999999,Vías rápidas
60.81,97.8639654,Vías rápidas
61.06,98.2663004,Vías rápidas
62.54,100.6481236,Vías rápidas
56.08,90.2517872,Vías rápidas
32.55,52.38401699999999,Tráfico fluido
23.66,38.0769844,Tráfico moderado
24.53,39.4771102,Tráfico moderado
22.68,36.4998312,Tráfico moderado
34.07,54.8302138,Tráfico fluido
60.13,96.7696142,Vías rápidas
59.78,96.2063452,Vías rápidas
59.06,95.0476204,Vías rápidas
60.62,97.55819079999999,Vías rápidas
59.84,96.3029056,Vías rápidas
59.68,96.0454112,Vías rápidas
57.57,92.6497038,Vías rápidas
57.01,91.7484734,Vías rápidas
58.41,94.00154939999999,Vías rápidas
56.62,91.1208308,Vías rápidas
60.3,97.043202,Vías rápidas
61.57,99.0870638,Vías rápidas
61.32,98.6847288,Vías rápidas
61.02,98.20192680000001,Vías rápidas
60.78,97.8156852,Vías rápidas
61.78,99.42502520000001,Vías rápidas
61.02,98.20192680000001,Vías rápidas
62.12,99.9722008,Vías rápidas
57.74,92.9232916,Vías rápidas
40.35,64.936869,Tráfico fluido
23.16,37.2723144,Tráfico moderado
26.58,42.776257199999996,Tráfico fluido
37.28,59.9961952,Tráfico fluido
57.71,92.8750114,Vías rápidas
61.83,99.50549219999999,Vías rápidas
63.22,101.7424748,Vías rápidas
62.95,101.307953,Vías rápidas
60.82,97.8800588,Vías rápidas
60.82,97.8800588,Vías rápidas
61.73,99.3445582,Vías rápidas
61.31,98.6686354,Vías rápidas
61.66,99.23190439999999,Vías rápidas
62.82,101.0987388,Vías rápidas
62.62,100.7768708,Vías rápidas
62.92,101.2596728,Vías rápidas
60.91,98.0248994,Vías rápidas
61.16,98.42723439999999,Vías rápidas
60.99,98.1536466,Vías rápidas
60.86,97.9444324,Vías rápidas
60.82,97.8800588,Vías rápidas
60.46,97.3006964,Vías rápidas
59.88,96.3672792,Vías rápidas
51.44,82.7844496,Vías rápidas
34.5,55.52223,Tráfico fluido
20.69,33.2972446,Tráfico moderado
21.32,34.3111288,Tráfico moderado
42.18,67.8819612,Vías rápidas
58.82,94.6613788,Vías rápidas
58.02,93.3739068,Vías rápidas
61.63,99.1836242,Vías rápidas
60.98,98.1375532,Vías rápidas
56.11,90.3000674,Vías rápidas
60.42,97.2363228,Vías rápidas
58.81,94.6452854,Vías rápidas
56.67,91.2012978,Vías rápidas
58.06,93.4382804,Vías rápidas
59.16,95.2085544,Vías rápidas
59.72,96.1097848,Vías rápidas
61.02,98.20192680000001,Vías rápidas
61.87,99.5698658,Vías rápidas
61.1,98.330674,Vías rápidas
61.32,98.6847288,Vías rápidas
60.98,98.1375532,Vías rápidas
60.92,98.0409928,Vías rápidas
61.08,98.2984872,Vías rápidas
61.39,98.7973826,Vías rápidas
62.18,100.0687612,Vías rápidas
60.69,97.6708446,Vías rápidas
62.18,100.0687612,Vías rápidas
61.39,98.7973826,Vías rápidas
58.04,93.40609359999999,Vías rápidas
18.79,30.239498599999997,Tráfico moderado
47.32,76.1539688,Vías rápidas
61.39,98.7973826,Vías rápidas
61.42,98.8456628,Vías rápidas
61.72,99.32846479999999,Vías rápidas
61.77,99.4089318,Vías rápidas
61.81,99.4733054,Vías rápidas
56.81,91.4266054,Vías rápidas
58.48,94.11420319999999,Vías rápidas
60.97,98.1214598,Vías rápidas
62.11,99.9561074,Vías rápidas
62.5,100.58375,Vías rápidas
62.51,100.5998434,Vías rápidas
62.19,100.0848546,Vías rápidas
61.5,98.97441,Vías rápidas
61.07,98.2823938,Vías rápidas
60.7,97.686938,Vías rápidas
60.42,97.2363228,Vías rápidas
60.43,97.2524162,Vías rápidas
60.11,96.7374274,Vías rápidas
58.47,94.0981098,Vías rápidas
60.41,97.2202294,Vías rápidas
62.12,99.9722008,Vías rápidas
63.36,101.9677824,Vías rápidas
64.52,103.83461679999999,Vías rápidas
64.93,104.49444620000001,Vías rápidas
62.11,99.9561074,Vías rápidas
60.15,96.801801,Vías rápidas
61.78,99.42502520000001,Vías rápidas
60.93,98.0570862,Vías rápidas
58.32,93.8567088,Vías rápidas
61.08,98.2984872,Vías rápidas
63.02,101.4206068,Vías rápidas
63.82,102.7080788,Vías rápidas
63.3,101.87122199999999,Vías rápidas
61.75,99.376745,Vías rápidas
62.67,100.8573378,Vías rápidas
63.18,101.6781012,Vías rápidas
62.18,100.0687612,Vías rápidas
60.92,98.0409928,Vías rápidas
60.78,97.8156852,Vías rápidas
61.16,98.42723439999999,Vías rápidas
61.77,99.4089318,Vías rápidas
59.09,95.09590060000001,Vías rápidas
39.75,63.971265,Tráfico fluido
21.98,35.3732932,Tráfico moderado
23.36,37.5941824,Tráfico moderado
23.71,38.1574514,Tráfico moderado
59.18,95.2407412,Vías rápidas
61.28,98.6203552,Vías rápidas
62.72,100.9378048,Vías rápidas
58.46,94.0820164,Vías rápidas
60.89,97.9927126,Vías rápidas
60.27,96.9949218,Vías rápidas
61.47,98.9261298,Vías rápidas
61.11,98.3467674,Vías rápidas
60.72,97.7191248,Vías rápidas
62.39,100.4067226,Vías rápidas
61.9,99.618146,Vías rápidas
61.88,99.5859592,Vías rápidas
61.16,98.42723439999999,Vías rápidas
61.33,98.70082219999999,Vías rápidas
61.22,98.5237948,Vías rápidas
60.97,98.1214598,Vías rápidas
61.07,98.2823938,Vías rápidas
61.1,98.330674,Vías rápidas
62.86,101.1631124,Vías rápidas
64.32,103.51274879999998,Vías rápidas
42.29,68.05898859999999,Vías rápidas
23.22,37.3688748,Tráfico moderado
24.92,40.1047528,Tráfico fluido
40.17,64.6471878,Tráfico fluido
62.22,100.1331348,Vías rápidas
63.06,101.4849804,Vías rápidas
63.01,101.4045134,Vías rápidas
63.02,101.4206068,Vías rápidas
63.02,101.4206068,Vías rápidas
62.36,100.3584424,Vías rápidas
61.66,99.23190439999999,Vías rápidas
61.53,99.0226902,Vías rápidas
59.69,96.06150459999999,Vías rápidas
62.96,101.3240464,Vías rápidas
62.7,100.905618,Vías rápidas
62.99,101.37232660000001,Vías rápidas
62.03,99.8273602,Vías rápidas
61.81,99.4733054,Vías rápidas
61.27,98.6042618,Vías rápidas
60.88,97.9766192,Vías rápidas
60.88,97.9766192,Vías rápidas
61.14,98.3950476,Vías rápidas
62.67,100.8573378,Vías rápidas
67.74,109.01669159999999,Vías rápidas
44.74,72.0018716,Vías rápidas
25.42,40.9094228,Tráfico fluido
41.47,66.7393298,Vías rápidas
45.02,72.4524868,Vías rápidas
61.18,98.4594212,Vías rápidas
63.4,102.032156,Vías rápidas
64.12,103.1908808,Vías rápidas
65.35,105.170369,Vías rápidas
62.63,100.7929642,Vías rápidas
61.51,98.9905034,Vías rápidas
62.18,100.0687612,Vías rápidas
61.86,99.5537724,Vías rápidas
61.23,98.5398882,Vías rápidas
62.65,100.82515099999999,Vías rápidas
62.77,101.01827180000001,Vías rápidas
62.25,100.181415,Vías rápidas
62.25,100.181415,Vías rápidas
61.7,99.296278,Vías rápidas
61.07,98.2823938,Vías rápidas
60.97,98.1214598,Vías rápidas
61.17,98.4433278,Vías rápidas
61.15,98.411141,Vías rápidas
63.39,102.0160626,Vías rápidas
64.66,104.0599244,Vías rápidas
43.74,70.3925316,Vías rápidas
23.9,38.463226,Tráfico moderado
24.92,40.1047528,Tráfico fluido
25.47,40.9898898,Tráfico fluido
46.55,74.914777,Vías rápidas
63.18,101.6781012,Vías rápidas
61.68,99.2640912,Vías rápidas
62.28,100.2296952,Vías rápidas
61.82,99.4893988,Vías rápidas
61.01,98.18583339999999,Vías rápidas
61.56,99.07097040000001,Vías rápidas
60.62,97.55819079999999,Vías rápidas
61.12,98.36286079999999,Vías rápidas
61.91,99.6342394,Vías rápidas
62.42,100.4550028,Vías rápidas
62.12,99.9722008,Vías rápidas
62.17,100.05266780000001,Vías rápidas
61.52,99.00659680000001,Vías rápidas
61.22,98.5237948,Vías rápidas
61.06,98.2663004,Vías rápidas
61.0,98.16974,Vías rápidas
61.14,98.3950476,Vías rápidas
62.69,100.8895246,Vías rápidas
63.53,102.2413702,Vías rápidas
53.62,86.2928108,Vías rápidas
32.32,52.0138688,Tráfico fluido
30.53,49.1331502,Tráfico fluido
38.18,61.4446012,Tráfico fluido
62.37,100.37453579999999,Vías rápidas
63.55,102.273557,Vías rápidas
63.28,101.8390352,Vías rápidas
63.42,102.0643428,Vías rápidas
63.43,102.0804362,Vías rápidas
59.55,95.836197,Vías rápidas
61.88,99.5859592,Vías rápidas
62.09,99.9239206,Vías rápidas
62.32,100.2940688,Vías rápidas
63.18,101.6781012,Vías rápidas
63.86,102.77245239999999,Vías rápidas
62.35,100.342349,Vías rápidas
62.69,100.8895246,Vías rápidas
61.91,99.6342394,Vías rápidas
61.69,99.2801846,Vías rápidas
61.21,98.5077014,Vías rápidas
60.99,98.1536466,Vías rápidas
61.02,98.20192680000001,Vías rápidas
61.68,99.2640912,Vías rápidas
62.31,100.2779754,Vías rápidas
63.05,101.468887,Vías rápidas
63.17,101.6620078,Vías rápidas
62.85,101.147019,Vías rápidas
62.85,101.147019,Vías rápidas
61.51,98.9905034,Vías rápidas
61.59,99.1192506,Vías rápidas
57.5,92.53705,Vías rápidas
60.01,96.57649339999999,Vías rápidas
60.83,97.8961522,Vías rápidas
61.38,98.7812892,Vías rápidas
60.76,97.7834984,Vías rápidas
60.1,96.721334,Vías rápidas
59.22,95.3051148,Vías rápidas
61.44,98.87784959999999,Vías rápidas
63.58,102.32183719999999,Vías rápidas
63.0,101.38842,Vías rápidas
62.7,100.905618,Vías rápidas
62.37,100.37453579999999,Vías rápidas
61.96,99.7147064,Vías rápidas
61.25,98.572075,Vías rápidas
61.2,98.491608,Vías rápidas
60.99,98.1536466,Vías rápidas
61.35,98.733009,Vías rápidas
61.57,99.0870638,Vías rápidas
62.08,99.9078272,Vías rápidas
62.53,100.6320302,Vías rápidas
63.1,101.54935400000001,Vías rápidas
63.65,102.434491,Vías rápidas
64.37,103.59321580000001,Vías rápidas
64.42,103.67368280000001,Vías rápidas
62.62,100.7768708,Vías rápidas
63.24,101.7746616,Vías rápidas
63.33,101.9195022,Vías rápidas
62.91,101.24357939999999,Vías rápidas
62.98,101.35623319999999,Vías rápidas
63.78,102.6437052,Vías rápidas
61.34,98.71691560000001,Vías rápidas
63.03,101.4367002,Vías rápidas
63.8,102.67589199999999,Vías rápidas
63.13,101.5976342,Vías rápidas
62.1,99.940014,Vías rápidas
61.68,99.2640912,Vías rápidas
61.23,98.5398882,Vías rápidas
60.97,98.1214598,Vías rápidas
60.92,98.0409928,Vías rápidas
61.27,98.6042618,Vías rápidas
62.23,100.1492282,Vías rápidas
61.24,98.55598160000001,Vías rápidas
41.18,66.2726212,Vías rápidas
22.05,35.485947,Tráfico moderado
24.08,38.752907199999996,Tráfico moderado
23.35,37.578089000000006,Tráfico moderado
55.18,88.8033812,Vías rápidas
62.02,99.8112668,Vías rápidas
61.43,98.8617562,Vías rápidas
62.52,100.6159368,Vías rápidas
62.25,100.181415,Vías rápidas
61.85,99.537679,Vías rápidas
61.24,98.55598160000001,Vías rápidas
61.91,99.6342394,Vías rápidas
61.14,98.3950476,Vías rápidas
63.15,101.62982099999999,Vías rápidas
62.92,101.2596728,Vías rápidas
62.24,100.1653216,Vías rápidas
62.08,99.9078272,Vías rápidas
61.39,98.7973826,Vías rápidas
61.16,98.42723439999999,Vías rápidas
60.95,98.089273,Vías rápidas
60.94,98.07317959999999,Vías rápidas
61.12,98.36286079999999,Vías rápidas
62.79,101.0504586,Vías rápidas
63.18,101.6781012,Vías rápidas
41.27,66.4174618,Vías rápidas
22.79,36.676858599999996,Tráfico moderado
25.86,41.6175324,Tráfico fluido
26.64,42.8728176,Tráfico fluido
54.15,87.145761,Vías rápidas
63.45,102.112623,Vías rápidas
63.14,101.6137276,Vías rápidas
63.76,102.6115184,Vías rápidas
63.61,102.3701174,Vías rápidas
61.35,98.733009,Vías rápidas
62.1,99.940014,Vías rápidas
62.09,99.9239206,Vías rápidas
61.68,99.2640912,Vías rápidas
63.28,101.8390352,Vías rápidas
63.23,101.7585682,Vías rápidas
62.1,99.940014,Vías rápidas
62.14,100.0043876,Vías rápidas
61.56,99.07097040000001,Vías rápidas
61.28,98.6203552,Vías rápidas
60.94,98.07317959999999,Vías rápidas
61.01,98.18583339999999,Vías rápidas
61.04,98.2341136,Vías rápidas
62.38,100.3906292,Vías rápidas
61.93,99.6664262,Vías rápidas
43.82,70.5212788,Vías rápidas
25.29,40.700208599999996,Tráfico fluido
24.72,39.7828848,Tráfico moderado
31.37,50.4849958,Tráfico fluido
62.22,100.1331348,Vías rápidas
63.49,102.17699660000001,Vías rápidas
63.18,101.6781012,Vías rápidas
63.52,102.2252768,Vías rápidas
63.01,101.4045134,Vías rápidas
